Flight,Depart time,Arrival time,Journey duration,Price
"Air India
AI-514/AI-604",03:35,11:20,7h 45m,"{'Offer': ['Comfort Plus', 'Best Value', 'Flex'], 'Price': ['12,171', '12,753', '14,590']}"
"AirIndia Express
I5-1534/I5-472",22:00,04:05,6h 05m,"{'Offer': ['Xpress Value', 'Best Value'], 'Price': ['12,200', '12,782']}"
"Vistara
UK-819/UK-840",13:55,23:20,9h 25m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['12,278', '12,860', '14,275']}"
"Vistara
UK-555/UK-588",12:25,17:10,4h 45m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['12,405', '12,987', '14,402']}"
"Air India
AI-807/AI-642",17:20,23:20,6h 00m,"{'Offer': ['Comfort Plus', 'Best Value', 'Flex'], 'Price': ['12,801', '13,383', '15,220']}"
"SpiceJet
SG-476/SG-116",11:00,13:35,26h 35m,"{'Offer': ['Spice Saver', 'Best Value', 'Spice Max'], 'Price': ['12,852', '13,434', '16,108']}"
"SpiceJet
SG-495/SG-116",13:15,13:35,24h 20m,"{'Offer': ['Spice Saver', 'Best Value', 'Spice Max'], 'Price': ['13,168', '13,750', '16,422']}"
"Air India
AI-813/AI-622",08:00,13:55,5h 55m,"{'Offer': ['Comfort Plus', 'Best Value', 'Flex'], 'Price': ['13,201', '13,783', '15,619']}"
"Air India
AI-803/AI-622",06:10,13:55,7h 45m,"{'Offer': ['Comfort Plus', 'Best Value', 'Flex'], 'Price': ['13,201', '13,783', '15,619']}"
"Air India
AI-815/AI-642",15:45,23:20,7h 35m,"{'Offer': ['Comfort Plus', 'Best Value', 'Flex'], 'Price': ['13,516', '14,098', '15,934']}"
"Vistara
UK-813/UK-840",17:40,23:20,5h 40m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['13,696', '14,278', '15,693']}"
"Multiple Airline
IX-779/I5-679",04:30,15:15,10h 45m,"{'Offer': ['Xpress Value', 'Best Value'], 'Price': ['13,795', '14,377']}"
"Air India
AI-401/AI-676",06:45,12:30,5h 45m,"{'Offer': ['Comfort Plus', 'Best Value', 'Flex'], 'Price': ['13,811', '14,393', '16,339']}"
"Air India
AI-767/AI-775",12:20,19:15,6h 55m,"{'Offer': ['Comfort', 'Comfort Plus', 'Best Value', ''], 'Price': ['14,411', '14,938', '14,993', '']}"
